transaction_id,date,city,branch_id,account_no,amount,status
TXN761137,2025-05-08,Mumbai,MUM-1,ACC63787,2603.9,SUCCESS
TXN546346,2025-05-08,Mumbai,MUM-1,ACC67020,9753.58,SUCCESS
TXN469835,2025-05-08,Mumbai,MUM-1,ACC24595,5796.14,SUCCESS
TXN825231,2025-05-08,Mumbai,MUM-1,ACC61695,6055.64,SUCCESS
TXN286725,2025-05-08,Mumbai,MUM-1,ACC60652,9835.18,SUCCESS
TXN547533,2025-05-08,Mumbai,MUM-1,ACC99984,3450.11,SUCCESS
TXN174928,2025-05-08,Mumbai,MUM-1,ACC23015,8174.81,SUCCESS
TXN298510,2025-05-08,Mumbai,MUM-1,ACC97047,718.7,SUCCESS
TXN982462,2025-05-08,Mumbai,MUM-1,ACC32501,7667.29,SUCCESS
TXN671575,2025-05-08,Mumbai,MUM-1,ACC50651,8386.85,SUCCESS
TXN324272,2025-05-08,Mumbai,MUM-1,ACC62663,849.05,SUCCESS
TXN614568,2025-05-08,Mumbai,MUM-1,ACC64599,3705.17,FAILED
TXN328550,2025-05-08,Mumbai,MUM-1,ACC80590,8696.52,SUCCESS
TXN107670,2025-05-08,Mumbai,MUM-1,ACC66062,7019.46,FAILED
TXN386664,2025-05-08,Mumbai,MUM-1,ACC93017,2571.93,PENDING
TXN564689,2025-05-08,Mumbai,MUM-1,ACC46253,8650.01,SUCCESS
TXN612886,2025-05-08,Mumbai,MUM-1,ACC88688,7648.88,SUCCESS
TXN677085,2025-05-08,Mumbai,MUM-1,ACC52542,6196.4,SUCCESS
TXN382915,2025-05-08,Mumbai,MUM-1,ACC65183,3224.52,SUCCESS
TXN131764,2025-05-08,Mumbai,MUM-1,ACC99841,5265.96,SUCCESS
TXN950475,2025-05-08,Mumbai,MUM-1,ACC86337,9128.4,SUCCESS
TXN969793,2025-05-08,Mumbai,MUM-1,ACC56799,4475.97,SUCCESS
TXN198559,2025-05-08,Mumbai,MUM-1,ACC57635,7866.74,SUCCESS
TXN711814,2025-05-08,Mumbai,MUM-1,ACC60614,9388.51,SUCCESS
TXN671537,2025-05-08,Mumbai,MUM-1,ACC71625,9708.6,SUCCESS
TXN147268,2025-05-08,Mumbai,MUM-1,ACC95058,2252.96,FAILED
TXN245572,2025-05-08,Mumbai,MUM-1,ACC53926,6496.11,SUCCESS
TXN901172,2025-05-08,Mumbai,MUM-1,ACC74213,3867.75,SUCCESS
TXN459233,2025-05-08,Mumbai,MUM-1,ACC11958,3021.66,SUCCESS
TXN386832,2025-05-08,Mumbai,MUM-1,ACC87764,6988.17,SUCCESS
TXN826636,2025-05-08,Mumbai,MUM-1,ACC94902,9750.0,SUCCESS
TXN519193,2025-05-08,Mumbai,MUM-1,ACC49311,2732.2,FAILED
TXN242225,2025-05-08,Mumbai,MUM-1,ACC67740,5539.57,SUCCESS
TXN114784,2025-05-08,Mumbai,MUM-1,ACC17217,6196.77,SUCCESS
TXN413029,2025-05-08,Mumbai,MUM-1,ACC44446,2043.28,SUCCESS
TXN371036,2025-05-08,Mumbai,MUM-1,ACC41686,5245.51,SUCCESS
TXN602461,2025-05-08,Mumbai,MUM-1,ACC54162,8525.03,SUCCESS
TXN899301,2025-05-08,Mumbai,MUM-1,ACC54889,7169.6,PENDING
TXN416134,2025-05-08,Mumbai,MUM-1,ACC84424,7518.58,SUCCESS
TXN973714,2025-05-08,Mumbai,MUM-1,ACC35401,3999.16,SUCCESS
TXN857625,2025-05-08,Mumbai,MUM-1,ACC79314,9696.93,SUCCESS
TXN790894,2025-05-08,Mumbai,MUM-1,ACC41664,131.82,SUCCESS
TXN804614,2025-05-08,Mumbai,MUM-1,ACC98246,6383.83,SUCCESS
TXN844833,2025-05-08,Mumbai,MUM-1,ACC54130,714.02,PENDING
TXN292805,2025-05-08,Mumbai,MUM-1,ACC81031,5977.9,SUCCESS
TXN363580,2025-05-08,Mumbai,MUM-1,ACC22255,4592.82,FAILED
TXN214389,2025-05-08,Mumbai,MUM-1,ACC28541,1713.89,SUCCESS
TXN273218,2025-05-08,Mumbai,MUM-1,ACC55945,302.07,SUCCESS
TXN831139,2025-05-08,Mumbai,MUM-1,ACC96821,5184.07,SUCCESS
TXN372905,2025-05-08,Mumbai,MUM-1,ACC95041,1417.92,SUCCESS
TXN799814,2025-05-08,Mumbai,MUM-1,ACC92436,2585.64,SUCCESS
TXN985369,2025-05-08,Mumbai,MUM-1,ACC24123,8781.16,FAILED
TXN485483,2025-05-08,Mumbai,MUM-1,ACC11681,4244.17,SUCCESS
TXN533254,2025-05-07,Mumbai,MUM-1,ACC80736,3949.64,SUCCESS
TXN656670,2025-05-07,Mumbai,MUM-1,ACC95753,1279.08,SUCCESS
TXN255599,2025-05-07,Mumbai,MUM-1,ACC73479,9087.37,SUCCESS
TXN595713,2025-05-07,Mumbai,MUM-1,ACC64832,8131.18,SUCCESS
TXN105541,2025-05-07,Mumbai,MUM-1,ACC75969,2179.11,SUCCESS
TXN498072,2025-05-07,Mumbai,MUM-1,ACC87629,6943.4,FAILED
TXN412836,2025-05-07,Mumbai,MUM-1,ACC61268,2357.21,FAILED
TXN775310,2025-05-07,Mumbai,MUM-1,ACC46101,5656.04,SUCCESS
TXN393152,2025-05-07,Mumbai,MUM-1,ACC62503,7667.23,SUCCESS
TXN151307,2025-05-07,Mumbai,MUM-1,ACC52339,8751.77,SUCCESS
TXN323383,2025-05-07,Mumbai,MUM-1,ACC93814,2140.21,SUCCESS
TXN663140,2025-05-07,Mumbai,MUM-1,ACC36449,6725.31,SUCCESS
TXN466687,2025-05-07,Mumbai,MUM-1,ACC79134,2220.71,SUCCESS
TXN184916,2025-05-07,Mumbai,MUM-1,ACC14653,1564.57,FAILED
TXN940763,2025-05-07,Mumbai,MUM-1,ACC77092,8255.79,SUCCESS
TXN557763,2025-05-07,Mumbai,MUM-1,ACC14904,6577.07,SUCCESS
TXN897769,2025-05-07,Mumbai,MUM-1,ACC17514,5201.98,FAILED
TXN269685,2025-05-07,Mumbai,MUM-1,ACC30217,1755.31,FAILED
TXN849142,2025-05-07,Mumbai,MUM-1,ACC50695,9001.02,SUCCESS
TXN502125,2025-05-07,Mumbai,MUM-1,ACC43874,928.26,FAILED
TXN149879,2025-05-07,Mumbai,MUM-1,ACC98306,1081.18,SUCCESS
TXN357185,2025-05-07,Mumbai,MUM-1,ACC61105,9399.58,SUCCESS
TXN952177,2025-05-07,Mumbai,MUM-1,ACC47570,9784.42,SUCCESS
TXN818602,2025-05-07,Mumbai,MUM-1,ACC95308,7950.11,SUCCESS
TXN423331,2025-05-07,Mumbai,MUM-1,ACC80706,5783.09,FAILED
TXN781195,2025-05-07,Mumbai,MUM-1,ACC36506,7477.86,FAILED
TXN976634,2025-05-07,Mumbai,MUM-1,ACC74381,6911.7,SUCCESS
TXN702125,2025-05-07,Mumbai,MUM-1,ACC73486,8365.77,SUCCESS
TXN634545,2025-05-07,Mumbai,MUM-1,ACC84962,7048.34,SUCCESS
TXN208290,2025-05-07,Mumbai,MUM-1,ACC87532,7724.38,SUCCESS
TXN580403,2025-05-07,Mumbai,MUM-1,ACC12480,2736.33,SUCCESS
TXN402056,2025-05-07,Mumbai,MUM-1,ACC12081,2167.64,SUCCESS
TXN833576,2025-05-07,Mumbai,MUM-1,ACC46857,8622.35,FAILED
TXN314658,2025-05-07,Mumbai,MUM-1,ACC40603,9599.33,SUCCESS
TXN821901,2025-05-07,Mumbai,MUM-1,ACC90706,9042.74,SUCCESS
TXN228276,2025-05-07,Mumbai,MUM-1,ACC60239,3915.59,SUCCESS
TXN262376,2025-05-07,Mumbai,MUM-1,ACC82571,4090.03,SUCCESS
TXN310913,2025-05-07,Mumbai,MUM-1,ACC30565,7986.4,FAILED
TXN882136,2025-05-07,Mumbai,MUM-1,ACC50231,1517.36,SUCCESS
TXN564895,2025-05-07,Mumbai,MUM-1,ACC53369,784.28,SUCCESS
TXN662479,2025-05-07,Mumbai,MUM-1,ACC79547,131.17,SUCCESS
TXN877682,2025-05-07,Mumbai,MUM-1,ACC67601,7503.2,FAILED
TXN469264,2025-05-07,Mumbai,MUM-1,ACC21828,2183.06,SUCCESS
TXN192431,2025-05-07,Mumbai,MUM-1,ACC30647,1360.66,SUCCESS
TXN629706,2025-05-07,Mumbai,MUM-1,ACC95270,7331.17,SUCCESS
TXN767211,2025-05-07,Mumbai,MUM-1,ACC14311,1941.67,SUCCESS
TXN228595,2025-05-07,Mumbai,MUM-1,ACC10851,8168.73,SUCCESS
TXN139420,2025-05-07,Mumbai,MUM-1,ACC95860,5931.76,SUCCESS
TXN476187,2025-05-07,Mumbai,MUM-1,ACC28200,1363.1,SUCCESS
TXN156124,2025-05-07,Mumbai,MUM-1,ACC67531,7548.38,SUCCESS
TXN981627,2025-05-07,Mumbai,MUM-1,ACC22700,9521.99,SUCCESS
TXN294939,2025-05-07,Mumbai,MUM-1,ACC66231,964.44,FAILED
TXN808028,2025-05-07,Mumbai,MUM-1,ACC79243,4601.04,SUCCESS
TXN722798,2025-05-07,Mumbai,MUM-1,ACC31885,6356.91,SUCCESS
TXN543759,2025-05-07,Mumbai,MUM-1,ACC89049,7163.37,SUCCESS
TXN367096,2025-05-07,Mumbai,MUM-1,ACC50454,8661.17,SUCCESS
TXN624412,2025-05-07,Mumbai,MUM-1,ACC28750,4960.32,SUCCESS
TXN928548,2025-05-07,Mumbai,MUM-1,ACC87381,3383.28,SUCCESS
TXN535403,2025-05-07,Mumbai,MUM-1,ACC28045,9140.14,SUCCESS
TXN567363,2025-05-07,Mumbai,MUM-1,ACC37154,7103.69,SUCCESS
TXN402929,2025-05-07,Mumbai,MUM-1,ACC39771,2758.36,SUCCESS
TXN229242,2025-05-07,Mumbai,MUM-1,ACC16857,8092.73,FAILED
TXN951272,2025-05-07,Mumbai,MUM-1,ACC84161,1053.14,SUCCESS
TXN295428,2025-05-07,Mumbai,MUM-1,ACC93082,6226.98,PENDING
TXN561595,2025-05-07,Mumbai,MUM-1,ACC59362,4627.63,FAILED
TXN945891,2025-05-07,Mumbai,MUM-1,ACC55502,5953.88,SUCCESS
TXN854015,2025-05-07,Mumbai,MUM-1,ACC55605,8981.2,SUCCESS
TXN778560,2025-05-07,Mumbai,MUM-1,ACC54496,9227.0,SUCCESS
TXN633604,2025-05-07,Mumbai,MUM-1,ACC10392,7458.5,SUCCESS
TXN116151,2025-05-07,Mumbai,MUM-1,ACC85443,2534.19,SUCCESS
TXN597906,2025-05-07,Mumbai,MUM-1,ACC10311,4724.5,SUCCESS
TXN618094,2025-05-07,Mumbai,MUM-1,ACC99950,2437.6,PENDING
TXN112557,2025-05-07,Mumbai,MUM-1,ACC83119,7072.56,FAILED
TXN955786,2025-05-07,Mumbai,MUM-1,ACC99917,5039.68,FAILED
TXN120453,2025-05-07,Mumbai,MUM-1,ACC94048,9631.11,FAILED
TXN999106,2025-05-07,Mumbai,MUM-1,ACC42513,8046.26,SUCCESS
TXN260279,2025-05-07,Mumbai,MUM-1,ACC47936,1220.57,SUCCESS
TXN374944,2025-05-07,Mumbai,MUM-1,ACC56478,5805.58,SUCCESS
TXN932622,2025-05-07,Mumbai,MUM-1,ACC91979,4985.82,SUCCESS
TXN643452,2025-05-07,Mumbai,MUM-1,ACC51846,2412.38,SUCCESS
TXN931285,2025-05-07,Mumbai,MUM-1,ACC82769,9990.51,SUCCESS
TXN348394,2025-05-07,Mumbai,MUM-1,ACC10513,6941.14,SUCCESS
TXN321313,2025-05-07,Mumbai,MUM-1,ACC26112,7810.55,SUCCESS
TXN585083,2025-05-07,Mumbai,MUM-1,ACC58459,6133.19,SUCCESS
TXN263586,2025-05-07,Mumbai,MUM-1,ACC72419,2524.53,FAILED
TXN584517,2025-05-07,Mumbai,MUM-1,ACC80132,621.14,SUCCESS
TXN792682,2025-05-07,Mumbai,MUM-1,ACC50764,4956.81,SUCCESS
TXN969895,2025-05-07,Mumbai,MUM-1,ACC42717,9456.4,SUCCESS
TXN900346,2025-05-07,Mumbai,MUM-1,ACC48508,1622.73,SUCCESS
TXN659811,2025-05-07,Mumbai,MUM-1,ACC38719,216.27,FAILED
TXN382551,2025-05-07,Mumbai,MUM-1,ACC97904,4567.97,SUCCESS
TXN802103,2025-05-07,Mumbai,MUM-1,ACC22385,3379.02,SUCCESS
TXN689731,2025-05-07,Mumbai,MUM-1,ACC20893,6879.33,SUCCESS
TXN703605,2025-05-07,Mumbai,MUM-1,ACC28116,6489.88,FAILED
TXN840150,2025-05-07,Mumbai,MUM-1,ACC54033,680.67,SUCCESS
TXN988207,2025-05-07,Mumbai,MUM-1,ACC86535,8170.94,SUCCESS
TXN644086,2025-05-07,Mumbai,MUM-1,ACC98936,7672.48,FAILED
TXN215006,2025-05-07,Mumbai,MUM-1,ACC94710,7660.2,SUCCESS
TXN533824,2025-05-07,Mumbai,MUM-1,ACC67369,2915.53,SUCCESS
TXN959547,2025-05-07,Mumbai,MUM-1,ACC91765,2928.81,SUCCESS
TXN102589,2025-05-06,Mumbai,MUM-1,ACC17019,2491.19,SUCCESS
TXN702109,2025-05-06,Mumbai,MUM-1,ACC78613,5378.19,SUCCESS
TXN784753,2025-05-06,Mumbai,MUM-1,ACC48108,9691.83,SUCCESS
TXN888993,2025-05-06,Mumbai,MUM-1,ACC18749,6500.31,FAILED
TXN213180,2025-05-06,Mumbai,MUM-1,ACC52272,3852.6,FAILED
TXN712794,2025-05-06,Mumbai,MUM-1,ACC14527,6916.18,SUCCESS
TXN753580,2025-05-06,Mumbai,MUM-1,ACC60554,2429.66,FAILED
TXN674785,2025-05-06,Mumbai,MUM-1,ACC12063,521.89,SUCCESS
TXN161026,2025-05-06,Mumbai,MUM-1,ACC24567,9113.12,FAILED
TXN171096,2025-05-06,Mumbai,MUM-1,ACC40286,9772.58,SUCCESS
TXN315245,2025-05-06,Mumbai,MUM-1,ACC37393,8132.11,SUCCESS
TXN201539,2025-05-06,Mumbai,MUM-1,ACC80004,8452.06,SUCCESS
TXN281405,2025-05-06,Mumbai,MUM-1,ACC79238,6030.31,FAILED
TXN111290,2025-05-06,Mumbai,MUM-1,ACC23743,7438.68,FAILED
TXN299242,2025-05-06,Mumbai,MUM-1,ACC87779,5379.66,SUCCESS
TXN196457,2025-05-06,Mumbai,MUM-1,ACC13931,5239.2,FAILED
TXN246958,2025-05-06,Mumbai,MUM-1,ACC51388,9230.65,SUCCESS
TXN445279,2025-05-06,Mumbai,MUM-1,ACC69325,2197.24,FAILED
TXN951610,2025-05-06,Mumbai,MUM-1,ACC98127,3130.39,SUCCESS
TXN357613,2025-05-06,Mumbai,MUM-1,ACC55910,2092.75,SUCCESS
TXN765860,2025-05-06,Mumbai,MUM-1,ACC57032,982.2,SUCCESS
TXN691669,2025-05-06,Mumbai,MUM-1,ACC72443,3385.65,SUCCESS
TXN164904,2025-05-06,Mumbai,MUM-1,ACC68114,6548.95,PENDING
TXN444931,2025-05-06,Mumbai,MUM-1,ACC55635,8148.42,SUCCESS
TXN620407,2025-05-06,Mumbai,MUM-1,ACC64016,9465.08,SUCCESS
TXN435841,2025-05-06,Mumbai,MUM-1,ACC69537,2483.15,SUCCESS
TXN544464,2025-05-06,Mumbai,MUM-1,ACC25931,9015.16,SUCCESS
TXN617194,2025-05-06,Mumbai,MUM-1,ACC56385,3081.64,SUCCESS
TXN973278,2025-05-06,Mumbai,MUM-1,ACC77585,7856.93,SUCCESS
TXN214833,2025-05-06,Mumbai,MUM-1,ACC17981,6880.65,SUCCESS
TXN670907,2025-05-06,Mumbai,MUM-1,ACC28023,3499.13,SUCCESS
TXN150655,2025-05-06,Mumbai,MUM-1,ACC90509,4001.88,FAILED
TXN510297,2025-05-06,Mumbai,MUM-1,ACC30883,3304.23,SUCCESS
TXN258535,2025-05-06,Mumbai,MUM-1,ACC88104,2059.62,FAILED
TXN675860,2025-05-06,Mumbai,MUM-1,ACC82137,1657.02,SUCCESS
TXN566674,2025-05-06,Mumbai,MUM-1,ACC38577,9548.37,SUCCESS
TXN924398,2025-05-06,Mumbai,MUM-1,ACC83148,9189.85,SUCCESS
TXN106174,2025-05-06,Mumbai,MUM-1,ACC32254,9407.79,SUCCESS
TXN827177,2025-05-06,Mumbai,MUM-1,ACC23121,8829.87,SUCCESS
TXN139328,2025-05-06,Mumbai,MUM-1,ACC76254,6730.48,SUCCESS
TXN885266,2025-05-06,Mumbai,MUM-1,ACC44091,5569.04,SUCCESS
TXN828681,2025-05-06,Mumbai,MUM-1,ACC11238,1048.86,SUCCESS
TXN613184,2025-05-06,Mumbai,MUM-1,ACC86494,6877.26,SUCCESS
TXN122129,2025-05-06,Mumbai,MUM-1,ACC59986,6438.24,SUCCESS
TXN452226,2025-05-06,Mumbai,MUM-1,ACC26952,8150.18,SUCCESS
TXN847246,2025-05-06,Mumbai,MUM-1,ACC84127,1173.67,SUCCESS
TXN509144,2025-05-06,Mumbai,MUM-1,ACC56132,4389.72,SUCCESS
TXN659335,2025-05-06,Mumbai,MUM-1,ACC32038,8040.5,SUCCESS
TXN482629,2025-05-06,Mumbai,MUM-1,ACC16301,9809.89,SUCCESS
TXN233168,2025-05-06,Mumbai,MUM-1,ACC99604,5406.73,SUCCESS
TXN528043,2025-05-06,Mumbai,MUM-1,ACC80584,1904.17,SUCCESS
TXN201748,2025-05-06,Mumbai,MUM-1,ACC19216,2223.51,SUCCESS
TXN987390,2025-05-06,Mumbai,MUM-1,ACC99260,7092.44,SUCCESS
TXN597588,2025-05-06,Mumbai,MUM-1,ACC15617,1029.77,SUCCESS
TXN216351,2025-05-06,Mumbai,MUM-1,ACC12134,9547.02,SUCCESS
TXN260875,2025-05-06,Mumbai,MUM-1,ACC55656,9837.67,SUCCESS
TXN968808,2025-05-06,Mumbai,MUM-1,ACC35043,7044.18,SUCCESS
TXN883463,2025-05-06,Mumbai,MUM-1,ACC76129,4918.62,SUCCESS
TXN124196,2025-05-06,Mumbai,MUM-1,ACC84194,7313.56,SUCCESS
TXN195537,2025-05-06,Mumbai,MUM-1,ACC31512,4012.14,SUCCESS
TXN165387,2025-05-06,Mumbai,MUM-1,ACC43176,6121.38,SUCCESS
TXN378270,2025-05-06,Mumbai,MUM-1,ACC64872,9470.06,SUCCESS
TXN500293,2025-05-06,Mumbai,MUM-1,ACC52215,8130.69,SUCCESS
TXN103283,2025-05-06,Mumbai,MUM-1,ACC49092,6217.7,SUCCESS
TXN996699,2025-05-06,Mumbai,MUM-1,ACC65426,2199.6,SUCCESS
TXN874549,2025-05-06,Mumbai,MUM-1,ACC16127,2862.34,SUCCESS
TXN679705,2025-05-06,Mumbai,MUM-1,ACC84005,5969.77,FAILED
TXN244538,2025-05-06,Mumbai,MUM-1,ACC85587,1218.73,SUCCESS
TXN521240,2025-05-06,Mumbai,MUM-1,ACC30609,711.01,PENDING
TXN159162,2025-05-06,Mumbai,MUM-1,ACC41486,9615.0,SUCCESS
TXN232711,2025-05-06,Mumbai,MUM-1,ACC61792,7281.52,PENDING
TXN624837,2025-05-06,Mumbai,MUM-1,ACC15012,9221.67,SUCCESS
TXN392258,2025-05-06,Mumbai,MUM-1,ACC49167,685.05,SUCCESS
TXN818349,2025-05-06,Mumbai,MUM-1,ACC52072,5335.25,FAILED
TXN362157,2025-05-06,Mumbai,MUM-1,ACC99989,7140.17,FAILED
TXN639107,2025-05-06,Mumbai,MUM-1,ACC14454,7549.13,SUCCESS
TXN670121,2025-05-06,Mumbai,MUM-1,ACC67598,7020.28,SUCCESS
TXN132634,2025-05-06,Mumbai,MUM-1,ACC95344,3699.41,SUCCESS
TXN562641,2025-05-06,Mumbai,MUM-1,ACC48619,2774.42,SUCCESS
TXN602995,2025-05-06,Mumbai,MUM-1,ACC63995,1312.75,SUCCESS
TXN853817,2025-05-06,Mumbai,MUM-1,ACC76213,3805.55,SUCCESS
TXN809281,2025-05-06,Mumbai,MUM-1,ACC97621,5577.23,SUCCESS
TXN238862,2025-05-06,Mumbai,MUM-1,ACC28516,6181.87,SUCCESS
TXN604950,2025-05-06,Mumbai,MUM-1,ACC63443,1952.22,SUCCESS
TXN835930,2025-05-06,Mumbai,MUM-1,ACC78850,1227.64,SUCCESS
TXN968066,2025-05-06,Mumbai,MUM-1,ACC38130,1092.46,SUCCESS
TXN833807,2025-05-06,Mumbai,MUM-1,ACC45653,6031.77,SUCCESS
TXN500794,2025-05-06,Mumbai,MUM-1,ACC10978,2747.57,SUCCESS
TXN297376,2025-05-06,Mumbai,MUM-1,ACC58846,9019.89,SUCCESS
TXN804460,2025-05-06,Mumbai,MUM-1,ACC64307,3110.76,SUCCESS
TXN220196,2025-05-06,Mumbai,MUM-1,ACC51125,1393.38,SUCCESS
TXN744014,2025-05-06,Mumbai,MUM-1,ACC33755,2586.89,SUCCESS
TXN883696,2025-05-06,Mumbai,MUM-1,ACC73011,8975.05,PENDING
TXN812889,2025-05-06,Mumbai,MUM-1,ACC64901,6770.94,FAILED
TXN204852,2025-05-06,Mumbai,MUM-1,ACC23388,3619.44,SUCCESS
TXN772207,2025-05-06,Mumbai,MUM-1,ACC76371,4715.58,FAILED
TXN653348,2025-05-06,Mumbai,MUM-1,ACC25024,6905.74,SUCCESS
TXN274734,2025-05-06,Mumbai,MUM-1,ACC24332,6007.43,SUCCESS
TXN569460,2025-05-06,Mumbai,MUM-1,ACC68994,9120.78,SUCCESS
TXN905208,2025-05-06,Mumbai,MUM-1,ACC96115,2873.11,FAILED
TXN915678,2025-05-05,Mumbai,MUM-1,ACC59141,220.13,SUCCESS
TXN714434,2025-05-05,Mumbai,MUM-1,ACC38711,1179.84,SUCCESS
TXN946243,2025-05-05,Mumbai,MUM-1,ACC12445,6045.58,SUCCESS
TXN886593,2025-05-05,Mumbai,MUM-1,ACC72681,6936.25,SUCCESS
TXN972325,2025-05-05,Mumbai,MUM-1,ACC49759,5899.68,PENDING
TXN140951,2025-05-05,Mumbai,MUM-1,ACC12304,8149.89,SUCCESS
TXN493514,2025-05-05,Mumbai,MUM-1,ACC67252,7704.58,SUCCESS
TXN945503,2025-05-05,Mumbai,MUM-1,ACC92471,3680.25,PENDING
TXN200557,2025-05-05,Mumbai,MUM-1,ACC37637,9906.34,SUCCESS
TXN741818,2025-05-05,Mumbai,MUM-1,ACC98599,9254.26,SUCCESS
TXN136610,2025-05-05,Mumbai,MUM-1,ACC42230,5654.19,FAILED
TXN173276,2025-05-05,Mumbai,MUM-1,ACC70148,7326.47,SUCCESS
TXN943683,2025-05-05,Mumbai,MUM-1,ACC99799,5362.5,SUCCESS
TXN440430,2025-05-05,Mumbai,MUM-1,ACC26759,7646.58,SUCCESS
TXN692234,2025-05-05,Mumbai,MUM-1,ACC87971,9321.44,SUCCESS
TXN909323,2025-05-05,Mumbai,MUM-1,ACC16515,557.28,SUCCESS
TXN973315,2025-05-05,Mumbai,MUM-1,ACC22319,5353.86,SUCCESS
TXN785177,2025-05-05,Mumbai,MUM-1,ACC96052,5918.31,SUCCESS
TXN479787,2025-05-05,Mumbai,MUM-1,ACC65889,3390.64,SUCCESS
TXN483343,2025-05-05,Mumbai,MUM-1,ACC92067,4117.59,SUCCESS
TXN845228,2025-05-05,Mumbai,MUM-1,ACC55433,8397.72,SUCCESS
TXN549153,2025-05-05,Mumbai,MUM-1,ACC45665,3187.75,PENDING
TXN812663,2025-05-05,Mumbai,MUM-1,ACC83544,8613.14,SUCCESS
TXN744706,2025-05-05,Mumbai,MUM-1,ACC45742,9060.37,SUCCESS
TXN527632,2025-05-05,Mumbai,MUM-1,ACC51731,6810.71,SUCCESS
TXN912913,2025-05-05,Mumbai,MUM-1,ACC53925,5220.78,FAILED
TXN506288,2025-05-05,Mumbai,MUM-1,ACC83615,9041.21,SUCCESS
TXN524226,2025-05-05,Mumbai,MUM-1,ACC20272,1288.5,SUCCESS
